Source,Weight_kg,Sex,Age_yrs,Length_cm,Month,Year
ATSEA,0.72,F,4,48,5,2012
ATSEA,0.94,F,15,54,5,2012
ATSEA,0.41,M,4,40,5,2012
ATSEA,0.64,M,7,49,5,2012
ATSEA,0.52,F,7,47,5,2012
ATSEA,0.69,M,13,49,5,2012
ATSEA,0.69,F,5,52,5,2012
ATSEA,0.75,F,7,52,5,2012
ATSEA,0.56,M,6,47,5,2012
ATSEA,0.54,M,6,48,5,2012
ATSEA,0.51,F,6,46,5,2012
ATSEA,0.36,M,5,39,5,2012
ATSEA,0.42,F,4,43,5,2012
ATSEA,0.6,F,8,49,5,2012
ATSEA,0.38,M,4,40,5,2012
ATSEA,0.45,F,4,44,5,2012
ATSEA,0.6,F,7,46,5,2012
ATSEA,0.4,M,4,42,5,2012
ATSEA,0.6,M,7,47,5,2012
ATSEA,0.38,F,4,41,5,2012
ATSEA,0.6,M,7,48,5,2012
ATSEA,0.6,M,7,49,5,2012
ATSEA,0.35,F,4,39,5,2012
ATSEA,0.4,F,4,40,5,2012
ATSEA,0.36,F,4,40,5,2012
ATSEA,0.37,F,4,40,5,2012
ATSEA,0.39,F,4,39,5,2012
ATSEA,1.23,F,13,59,5,2012
ATSEA,0.34,M,4,39,5,2012
ATSEA,0.31,M,4,38,5,2012
ATSEA,0.39,M,4,41,5,2012
ATSEA,0.51,F,4,43,5,2012
ATSEA,0.28,M,3,38,5,2012
ATSEA,0.4,F,4,41,5,2012
ATSEA,0.43,F,4,42,5,2012
ATSEA,0.38,M,4,39,5,2012
ATSEA,0.33,M,4,40,5,2012
ATSEA,0.5,F,7,46,5,2012
ATSEA,0.4,M,4,41,5,2012
ATSEA,0.42,F,4,41,5,2012
ATSEA,0.73,F,6,53,5,2012
ATSEA,0.55,M,6,48,5,2012
ATSEA,0.46,F,4,43,5,2012
ATSEA,0.78,F,7,52,5,2012
ATSEA,0.38,M,4,41,5,2012
ATSEA,0.36,M,4,41,5,2012
ATSEA,0.54,F,4,46,5,2012
ATSEA,0.34,M,5,40,5,2012
ATSEA,0.37,M,5,41,5,2012
ATSEA,0.37,F,4,39,5,2012
ATSEA,0.32,M,4,38,5,2012
ATSEA,0.4,M,3,40,5,2012
ATSEA,0.76,F,7,53,5,2012
ATSEA,0.17,M,2,30,6,2012
ATSEA,0.17,M,2,32,6,2012
ATSEA,0.23,M,3,35,6,2012
ATSEA,0.46,M,4,41,5,2012
ATSEA,0.42,M,4,42,5,2012
ATSEA,0.74,F,13,50,5,2012
ATSEA,0.22,M,3,34,5,2012
ATSEA,0.3,M,4,36,5,2012
ATSEA,0.21,F,3,32,5,2012
ATSEA,0.65,M,6,50,5,2012
ATSEA,0.4,F,4,41,5,2012
ATSEA,0.82,F,14,52,5,2012
ATSEA,0.4,M,4,41,5,2012
ATSEA,0.56,F,4,45,5,2012
ATSEA,0.54,F,4,45,5,2012
ATSEA,0.41,M,4,41,5,2012
ATSEA,0.45,F,4,42,5,2012
ATSEA,0.48,F,4,44,5,2012
ATSEA,0.63,M,6,49,5,2012
ATSEA,0.52,F,7,47,5,2012
ATSEA,0.65,F,7,50,5,2012
ATSEA,0.24,F,3,35,6,2012
ATSEA,0.44,F,4,43,6,2012
ATSEA,0.63,F,11,45,6,2012
ATSEA,0.4,M,4,41,6,2012
ATSEA,0.42,M,4,41,6,2012
ATSEA,0.38,F,4,41,6,2012
ATSEA,0.56,M,6,47,5,2012
ATSEA,0.46,F,4,44,5,2012
ATSEA,0.6,M,6,47,5,2012
ATSEA,0.64,F,5,48,5,2012
ATSEA,0.59,F,5,46,5,2012
ATSEA,0.4,M,3,40,5,2012
ATSEA,0.58,M,4,45,5,2012
ATSEA,0.64,F,5,49,5,2012
ATSEA,0.68,M,10,52,5,2012
ATSEA,0.76,F,7,51,5,2012
ATSEA,0.96,F,15,54,5,2012
ATSEA,0.34,M,4,38,5,2012
ATSEA,0.56,M,6,49,5,2012
ATSEA,0.58,F,7,49,5,2012
ATSEA,0.5,M,6,46,5,2012
ATSEA,0.56,F,5,48,5,2012
ATSEA,0.68,F,8,50,5,2012
ATSEA,0.44,M,4,42,5,2012
ATSEA,0.64,M,6,48,5,2012
ATSEA,0.55,M,6,47,5,2012
ATSEA,0.42,M,4,42,5,2012
ATSEA,0.46,M,4,43,5,2012
ATSEA,0.22,F,3,35,5,2012
ATSEA,0.38,M,4,40,5,2012
ATSEA,0.45,M,4,42,5,2012
ATSEA,0.44,F,4,43,5,2012
ATSEA,0.36,F,4,40,5,2012
ATSEA,0.43,F,5,42,5,2012
ATSEA,0.68,F,15,50,5,2012
ATSEA,0.6,M,6,54,5,2012
ATSEA,0.35,F,4,37,5,2012
ATSEA,0.39,F,4,38,5,2012
ATSEA,0.36,M,3,39,5,2012
ATSEA,0.42,F,4,41,5,2012
ATSEA,0.54,F,4,44,5,2012
ATSEA,0.37,M,5,41,5,2012
ATSEA,0.33,F,3,38,5,2012
ATSEA,0.43,F,4,41,5,2012
ATSEA,0.3,M,4,38,5,2012
ATSEA,0.35,F,4,39,5,2012
ATSEA,0.33,F,3,39,5,2012
ATSEA,0.26,M,4,37,5,2012
ATSEA,0.37,M,4,41,5,2012
ATSEA,0.38,F,4,39,5,2012
ATSEA,0.36,M,4,39,6,2012
ATSEA,0.38,M,4,40,6,2012
ATSEA,0.4,F,3,42,6,2012
ATSEA,0.34,M,4,39,5,2012
ATSEA,0.75,M,6,53,5,2012
ATSEA,0.79,F,9,53,5,2012
ATSEA,0.38,M,6,41,5,2012
ATSEA,0.44,F,3,43,5,2012
ATSEA,0.45,F,4,43,5,2012
ATSEA,0.39,M,4,40,5,2012
ATSEA,0.5,F,7,44,5,2012
ATSEA,0.58,F,6,48,5,2012
ATSEA,0.48,M,4,42,5,2012
ATSEA,0.36,F,4,40,5,2012
ATSEA,0.54,F,6,47,5,2012
ATSEA,0.4,F,4,41,5,2012
ATSEA,0.78,F,11,52,5,2012
ATSEA,0.36,M,3,40,7,2012
ATSEA,0.42,M,4,42,7,2012
ATSEA,0.44,F,4,42,7,2012
