"year","age","pred_weight"
2002,10,0.917350698634291
2002,11,1.06959298274877
2002,12,1.04107577525773
2002,13,0.986721175291529
2002,14,1.05486305887557
2002,15,1.13848309196142
2003,0,0.0219689382523043
2003,1,0.110872907281926
2003,2,0.312482611815908
2003,3,0.462844648795358
2003,4,0.527584313389392
2003,5,0.608815056350932
2003,6,0.695188665324351
2003,7,0.66423608961257
2003,8,0.763815774271264
2003,9,0.922371925438995
2003,10,0.884837564581606
2003,11,0.866288411156162
2003,12,1.02359736739169
2003,13,0.955400597495033
2003,14,0.907960892101479
2003,15,1.02765892204159
2004,0,0.0183972143195749
2004,1,0.104992338320046
2004,2,0.290542058379423
2004,3,0.439680292102834
2004,4,0.508735762130123
2004,5,0.546991730364825
2004,6,0.592484066365089
2004,7,0.676487017701455
2004,8,0.677978953987744
2004,9,0.760414755990108
2004,10,0.873719661516999
2004,11,0.854469129464294
2004,12,0.847771546860637
2004,13,0.960589962986382
2004,14,0.899008752157926
2004,15,0.904535826713079
2005,0,0.0163159674398189
2005,1,0.0943555083434723
2005,2,0.29526218724142
2005,3,0.438719364219182
2005,4,0.518633626494233
2005,5,0.566040890188616
2005,6,0.571266428553851
2005,7,0.618728484934407
2005,8,0.741002822150201
2005,9,0.72434384871042
2005,10,0.77300663216229
2005,11,0.905464828022703
2005,12,0.897386144928991
2005,13,0.853796503358168
2005,14,0.970025400859676
2005,15,0.961145641607747
2006,0,0.0142624908216464
2006,1,0.0859055590773724
2006,2,0.272402275296401
2006,3,0.457697852685497
2006,4,0.531255847500876
2006,5,0.59239237050236
2006,6,0.606874647636198
2006,7,0.61242848954839
2006,8,0.695750862693084
2006,9,0.812721358713628
2006,10,0.755911074703791
2006,11,0.822386446031207
2006,12,0.976220258311882
2006,13,0.927786700800174
2006,14,0.885100694938742
2006,15,1.0646371964027
2007,0,0.0127620393831541
2007,1,0.0690072744969037
2007,2,0.227906021052945
2007,3,0.388036725833324
2007,4,0.509315452605567
2007,5,0.557626708217742
2007,6,0.583648944807722
2007,7,0.597869964518402
2007,8,0.632848983422966
2007,9,0.701239906558047
2007,10,0.779396881036285
2007,11,0.739017104839465
2007,12,0.814785389832658
2007,13,0.927486628247404
2007,14,0.883847852650405
2007,15,0.892693286860912
2008,0,0.0143141791554822
2008,1,0.0762785492023395
2008,2,0.226158154785228
2008,3,0.401052055400325
2008,4,0.533413074159516
2008,5,0.660403768738748
2008,6,0.678685642143777
2008,7,0.710300781549915
2008,8,0.763192834708393
2008,9,0.787944817352031
2008,10,0.830742559377136
2008,11,0.941294004772474
2008,12,0.904491783829979
2008,13,0.956281867467213
2008,14,1.09149027875633
2008,15,1.10120948914091
2009,0,0.014877778051182
2009,1,0.0738566830842683
2009,2,0.215804655168361
2009,3,0.343556529358738
2009,4,0.475918490483204
2009,5,0.597072891392259
2009,6,0.693866060627071
2009,7,0.713017610911353
2009,8,0.782727960579675
2009,9,0.820296782406334
2009,10,0.805817412331367
2009,11,0.866112081138869
2009,12,0.994526673677832
2009,13,0.916406838707971
2009,14,0.971491808954512
2009,15,1.17396003688905
2010,0,0.0155703975125212
2010,1,0.0830065993025847
2010,2,0.225943253943494
2010,3,0.354485078107497
2010,4,0.440840243744165
2010,5,0.576033141500405
2010,6,0.678335663676158
2010,7,0.78823993740358
2010,8,0.849610766280513
2010,9,0.909701198220648
2010,10,0.907116459632265
2010,11,0.908438389918511
2010,12,0.989501449045772
2010,13,1.08956043883372
2010,14,1.00668300950022
2010,15,1.12985777745691
2011,0,0.0168178671876284
2011,1,0.0794715102199252
2011,2,0.232305461883505
2011,3,0.339526556284675
2011,4,0.416119631584012
2011,5,0.488127579298444
2011,6,0.598689977619898
2011,7,0.7049603007228
2011,8,0.859241818494416
2011,9,0.903327321322164
2011,10,0.920297041289694
2011,11,0.93553297212044
2011,12,0.949456422847983
2011,13,0.991718796433006
2011,14,1.09494665970655
2011,15,1.07106195921816
2012,0,0.018066612935303
2012,1,0.0890011366209511
2012,2,0.23060628210842
2012,3,0.361948398284576
2012,4,0.413244292491394
2012,5,0.477730738828864
2012,6,0.52601815269011
2012,7,0.645111622686342
2012,8,0.796772799644939
2012,9,0.947225569260523
2012,10,0.947517573326939
2012,11,0.984094819562078
2012,12,1.01379822138789
2012,13,0.986642946602268
2012,14,1.03333954653676
2012,15,1.20789083968675
2013,0,0.0184667644142098
2013,1,0.101050752646221
2013,2,0.272956473624104
2013,3,0.379748922370839
2013,4,0.465605339880156
2013,5,0.501429664045206
2013,6,0.54411255836107
2013,7,0.599062022219291
2013,8,0.770624626145444
2013,9,0.928347740597988
2013,10,1.05010739868757
2013,11,1.07086412900015
2013,12,1.12711323632357
2013,13,1.11346015786823
2013,14,1.08655746313265
2013,15,1.20480275779082
2014,0,0.0201079908193064
2014,1,0.105590658882479
2014,2,0.31681758347296
2014,3,0.459505478381638
2014,4,0.499389862658547
2014,5,0.577554523788678
2014,6,0.583831421833352
2014,7,0.633478215804149
2014,8,0.731562918253017
2014,9,0.917890652261151
2014,10,1.05211416818151
2014,11,1.21325669008818
2014,12,1.25382479563128
2014,13,1.26550126994074
2014,14,1.25354302272621
2014,15,1.29508263545164
2015,0,0.0181035031915014
2015,1,0.0859616100754571
2015,2,0.247512078002021
2015,3,0.398756470970439
2015,4,0.451788360130137
2015,5,0.463143882045322
2015,6,0.502772602934653
2015,7,0.508196385822476
2015,8,0.578379314647991
2015,9,0.651479747596964
2015,10,0.777757671065529
2015,11,0.908830759503401
2015,12,1.06207784561919
2015,13,1.05252655427571
2015,14,1.06519303881735
2015,15,1.11708236837506
2016,0,0.0180195513314333
2016,1,0.0891623042823717
2016,2,0.232144412753767
2016,3,0.358903472960769
2016,4,0.451684185923937
2016,5,0.482718612750819
2016,6,0.464491042839433
2016,7,0.504194970303322
2016,8,0.534558743357434
2016,9,0.593396234175597
2016,10,0.635970649986337
2016,11,0.774011207844244
2016,12,0.916578086980084
2016,13,1.02715351070539
2016,14,1.02066117179634
2016,15,1.09359639662656
2017,0,0.0224827136477164
2017,1,0.107009584821595
2017,2,0.290332078292018
2017,3,0.405881769457551
2017,4,0.490190451841736
2017,5,0.581907477279579
2017,6,0.58373468801804
2017,7,0.561648099166353
2017,8,0.639473304614161
2017,9,0.66128324012763
2017,10,0.698459107763661
2017,11,0.763132702132146
2017,12,0.941225635370202
2017,13,1.06882971726562
2017,14,1.20100255663511
2017,15,1.2634858702732
2018,0,0.01945839103599
2018,1,0.128295106795268
2018,2,0.334825923992341
2018,3,0.487774385128184
2018,4,0.532683677715637
2018,5,0.606829321629353
2018,6,0.676173353878601
2018,7,0.678242670602145
2018,8,0.684495916054759
2018,9,0.760146246607705
2018,10,0.747939332743526
2018,11,0.805353654328361
2018,12,0.891721463326436
2018,13,1.05466723697117
2018,14,1.20088039551964
2018,15,1.42861559145698
2019,0,0.0192768092291109
2019,1,0.089217339030542
2019,2,0.322542884298479
2019,3,0.451984996655822
2019,4,0.514363106220443
2019,5,0.529848946425324
2019,6,0.566567486186706
2019,7,0.631260530143945
2019,8,0.664159903492577
2019,9,0.653772386550064
2019,10,0.690807410670055
2019,11,0.692935796347499
2019,12,0.75613051452109
2019,13,0.802845363334753
2019,14,0.952111181363401
2019,15,1.14776290466179
2020,0,0.0212091539777826
2020,1,0.103015819617777
2020,2,0.261428584948364
2020,3,0.507479895480166
2020,4,0.555522012768495
2020,5,0.596319387730633
2020,6,0.576585344062502
2020,7,0.616493731047702
2020,8,0.72048113358329
2020,9,0.739358037570788
2020,10,0.692488936423195
2020,11,0.745950562790935
2020,12,0.758279931003144
2020,13,0.7934615419889
2020,14,0.844754565453147
2020,15,1.06063640192204
2021,0,0.0178905049017728
2021,1,0.116590641448342
2021,2,0.310512653298211
2021,3,0.423112662310682
2021,4,0.641604895977965
2021,5,0.66249402485903
2021,6,0.667516533813804
2021,7,0.645375076784256
2021,8,0.723792728570248
2021,9,0.825042521911841
2021,10,0.805587350531311
2021,11,0.769196804169962
2021,12,0.839688459786208
2021,13,0.818521804004748
2021,14,0.858808036468101
2021,15,0.968012542174716
2022,0,0.0177461611487214
2022,1,0.0980037607917043
2022,2,0.35020219949111
2022,3,0.500797382450516
2022,4,0.533070497939655
2022,5,0.762479479349765
2022,6,0.739000719353369
2022,7,0.744544081390762
2022,8,0.75505317559019
2022,9,0.825938542142832
2022,10,0.895806005725788
2022,11,0.891696512042172
2022,12,0.862830339060612
2022,13,0.903230663922645
2022,14,0.882836475572221
2022,15,0.980677777721544
2023,0,0.0243705043530446
2023,1,0.0884749722228812
2023,2,0.267913000974246
2023,3,0.514040677291388
2023,4,0.574230882292848
2023,5,0.576555352297134
2023,6,0.7740819223393
2023,7,0.750186283573136
2023,8,0.792778080947491
2023,9,0.784164044642977
2023,10,0.816171151377229
2023,11,0.90243154746692
2023,12,0.910334231434923
2023,13,0.84469858325339
2023,14,0.886634361550565
2023,15,0.917500632911517
2024,1,0.154494137148744
2024,2,0.307540952033474
2024,3,0.500039000973065
2024,4,0.749468620648581
2024,5,0.789722256348659
2024,6,0.744271253729631
2024,7,0.999177521895546
2024,8,1.01569148064624
2024,9,1.04691758069338
2024,10,0.985307762929722
2024,11,1.04547345744109
2024,12,1.17146561902474
2024,13,1.13320557962408
2024,14,1.05433621233562
2024,15,1.17166143275833
