"age","year","doy","p_mature","model"
5,2018,278,0.994944932142873,"Spatial + temperature"
5,2019,182,0.940281073891997,"Spatial + temperature"
5,2019,278,0.985846389788837,"Spatial + temperature"
5,2020,182,0.978038457814897,"Spatial + temperature"
5,2020,278,0.994949763218662,"Spatial + temperature"
5,2021,182,0.977630514331259,"Spatial + temperature"
5,2021,278,0.994854300534813,"Spatial + temperature"
5,2022,182,0.977386017739243,"Spatial + temperature"
5,2022,278,0.994797056584156,"Spatial + temperature"
5,2023,182,0.976219867011833,"Spatial + temperature"
5,2023,278,0.994523722212036,"Spatial + temperature"
5,2024,182,0.940017734158358,"Spatial + temperature"
5,2024,278,0.985780938831559,"Spatial + temperature"
6,2003,182,0.993311280258218,"Spatial + temperature"
6,2003,278,0.998480149911428,"Spatial + temperature"
6,2004,182,0.992564080688752,"Spatial + temperature"
6,2004,278,0.998309384084492,"Spatial + temperature"
6,2005,182,0.993302788868162,"Spatial + temperature"
6,2005,278,0.998478210394915,"Spatial + temperature"
6,2006,182,0.987635395967931,"Spatial + temperature"
6,2006,278,0.997177981004961,"Spatial + temperature"
6,2007,182,0.991340973453939,"Spatial + temperature"
6,2007,278,0.998029424649188,"Spatial + temperature"
6,2008,182,0.967871466264274,"Spatial + temperature"
6,2008,278,0.99255216160534,"Spatial + temperature"
6,2009,182,0.984918349763066,"Spatial + temperature"
6,2009,278,0.996550535746351,"Spatial + temperature"
6,2010,182,0.992748429598692,"Spatial + temperature"
6,2010,278,0.998351533847719,"Spatial + temperature"
6,2011,182,0.982409570090249,"Spatial + temperature"
6,2011,278,0.995968809766466,"Spatial + temperature"
6,2012,182,0.97630751986576,"Spatial + temperature"
6,2012,278,0.994544284656554,"Spatial + temperature"
6,2013,182,0.982984237975914,"Spatial + temperature"
6,2013,278,0.996102263626669,"Spatial + temperature"
6,2014,182,0.991931812049626,"Spatial + temperature"
6,2014,278,0.998164729458453,"Spatial + temperature"
6,2015,182,0.992502360054324,"Spatial + temperature"
6,2015,278,0.998295269498916,"Spatial + temperature"
6,2016,182,0.963928131485466,"Spatial + temperature"
6,2016,278,0.991611788902096,"Spatial + temperature"
6,2017,182,0.991681714008056,"Spatial + temperature"
