yr,fishery_independent_cpue,author,model,value,model_type,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2010,,Stewart and Hamel,Update,SB million mt,Growth,1.326,1.326,1.326,1.326,1.31,1.216,1.086,0.911,0.744,0.665,0.598,0.544,0.557,0.707,0.788,0.768,0.831,0.836,0.859,0.955,1.387,1.636,1.957,3.113,3.866,3.649,3.393,3.401,3.354,3.044,2.741,2.459,2.08,1.759,1.505,1.128,0.906,0.769,0.664,0.58,0.55,0.668,1.095,1.311,1.251,1.02,0.805,0.608,0.546,0.476,0.407,,,,,,,,,,,,,,
2010,,Martell,Base,SB million mt,TINSS,,,,,,,2.023,1.952,1.837,1.734,1.603,1.488,1.499,1.669,1.633,1.465,1.424,1.369,1.23,1.21,1.435,1.469,1.619,2.172,2.344,2.179,2.013,2.373,2.303,2.032,2.03,1.991,1.762,1.541,1.434,1.227,1.147,1.161,0.982,0.861,0.86,1.085,1.608,1.583,1.415,1.067,0.849,0.684,0.644,0.616,0.587,,,,,,,,,,,,,,
2011,,Stewart,SS,SB million mt,WtAtAge,,,,,,,1.19,1.1,1.02,1.03,1.05,1.03,1.19,1.34,1.35,1.34,1.31,1.23,1.15,1.17,1.17,1.14,1.47,1.79,1.89,1.81,1.99,2.09,2.01,1.93,1.83,1.68,1.53,1.38,1.21,1.01,0.95,0.87,0.79,0.67,0.58,0.88,1.19,1.34,1.3,1.13,0.9,0.79,0.85,0.85,1.28,1.69,,,,,,,,,,,,,
2011,,Martell,TINSS STAR update,SB million mt,TINSS,,,,,,,1.318,1.292,1.304,1.353,1.4,1.419,1.503,1.707,1.795,2.212,2.502,2.279,1.918,1.969,1.71,1.626,1.574,2.099,2.429,2.354,2.079,1.969,2.147,1.781,1.923,1.859,1.585,1.192,1.132,0.984,0.877,0.851,0.75,0.616,0.658,0.871,1.514,1.603,1.322,1.002,0.768,0.59,0.624,0.616,0.805,1.218,,,,,,,,,,,,,
2011,,Martell,TINSS Post-STAR,SB million mt,TINSS,,,,,,,0.589,0.621,0.62,0.664,0.692,0.685,0.743,0.885,0.926,1.071,1.216,1.118,0.946,1.017,1.039,1.064,1.11,1.669,2.021,1.99,1.836,2.087,2.243,1.875,1.829,1.748,1.523,1.16,1.133,1.003,0.878,0.832,0.726,0.617,0.692,0.941,1.64,1.754,1.462,1.142,0.945,0.834,1.129,1.326,1.515,2.177,,,,,,,,,,,,,
2011,,Martell,TINSS SSC Final,SB million mt,TINSS,,,,,,,0.596,0.626,0.623,0.665,0.693,0.687,0.742,0.888,0.935,1.075,1.222,1.122,0.954,1.023,1.042,1.067,1.122,1.676,2.027,1.999,1.841,2.091,2.242,1.875,1.832,1.75,1.528,1.163,1.137,1.006,0.879,0.831,0.721,0.612,0.687,0.937,1.638,1.751,1.461,1.145,0.945,0.831,1.103,1.3,1.485,2.179,,,,,,,,,,,,,
2012,,JTC,Base lowCI,SB million mt,WtAtAge,,,,,,,0.517,0.507,0.464,0.543,0.587,0.582,0.704,0.811,0.802,0.79,0.752,0.699,0.65,0.676,0.68,0.672,0.972,1.278,1.386,1.351,1.57,1.713,1.685,1.657,1.587,1.471,1.366,1.258,1.123,0.933,0.888,0.804,0.713,0.612,0.52,0.755,0.983,1.098,1.061,0.895,0.676,0.488,0.388,0.27,0.272,0.247,0.175,,,,,,,,,,,,
2012,,JTC,Base,SB million mt,WtAtAge,,,,,,,0.95,0.893,0.825,0.9,0.953,0.944,1.125,1.284,1.292,1.295,1.269,1.193,1.103,1.142,1.151,1.128,1.523,1.904,2.035,1.94,2.147,2.274,2.179,2.103,1.985,1.814,1.667,1.51,1.326,1.11,1.049,0.956,0.852,0.739,0.643,0.926,1.186,1.294,1.223,1.024,0.78,0.584,0.493,0.387,0.495,0.614,0.661,,,,,,,,,,,,
2012,,JTC,Base highCI,SB million mt,WtAtAge,,,,,,,1.799,1.648,1.491,1.553,1.679,1.667,2.015,2.328,2.339,2.367,2.316,2.164,1.986,2.035,2.084,1.996,2.597,3.185,3.272,3.051,3.244,3.317,3.103,2.968,2.774,2.461,2.222,1.967,1.678,1.403,1.321,1.21,1.082,0.948,0.85,1.228,1.551,1.676,1.561,1.318,1.041,0.859,0.855,0.788,1.268,1.829,2.196,,,,,,,,,,,,
2013,,JTC,Base,SB million mt,WtAtAge,,,,,,,1.067525,0.992435,0.91484,0.98313,1.037645,1.033195,1.2284,1.40606,1.420395,1.422065,1.398485,1.32342,1.222,1.257645,1.264425,1.23072,1.636295,2.044465,2.16577,2.070075,2.28488,2.415815,2.31315,2.225325,2.089595,1.900335,1.736895,1.56713,1.37029,1.14887,1.08733,0.99045,0.884395,0.768145,0.670185,0.961975,1.229655,1.340415,1.26795,1.06359,0.8114,0.617145,0.528785,0.4237205,0.51985,0.642125,1.078085,1.503625,,,,,,,,,,,
