"age","year","M2"
"16","2027",0
"17","2027",0
"18","2027",0
"19","2027",0
"20","2027",0
"1","2028",2.61361672854235
"2","2028",0.123790743380068
"3","2028",0.0295501597771368
"4","2028",0.017542994902529
"5","2028",0.0500088814427098
"6","2028",0
"7","2028",0
"8","2028",0
"9","2028",0
"10","2028",0
"11","2028",0
"12","2028",0
"13","2028",0
"14","2028",0
"15","2028",0
"16","2028",0
"17","2028",0
"18","2028",0
"19","2028",0
"20","2028",0
"1","2029",2.99431087256773
"2","2029",0.194902937029894
"3","2029",0.032911664931931
"4","2029",0.0362298667420294
"5","2029",0.0419998714512333
"6","2029",0
"7","2029",0
"8","2029",0
"9","2029",0
"10","2029",0
"11","2029",0
"12","2029",0
"13","2029",0
"14","2029",0
"15","2029",0
"16","2029",0
"17","2029",0
"18","2029",0
"19","2029",0
"20","2029",0
"1","2030",2.93737447126569
"2","2030",0.269767271618489
"3","2030",0.0494149996068346
"4","2030",0.0359715548489271
"5","2030",0.0781188589884185
"6","2030",0
"7","2030",0
"8","2030",0
"9","2030",0
"10","2030",0
"11","2030",0
"12","2030",0
"13","2030",0
"14","2030",0
"15","2030",0
"16","2030",0
"17","2030",0
"18","2030",0
"19","2030",0
"20","2030",0
"1","2031",3.07287759111755
"2","2031",0.1667817831449
"3","2031",0.0602705466756125
"4","2031",0.059743740668748
"5","2031",0.0822530372804133
"6","2031",0
"7","2031",0
"8","2031",0
"9","2031",0
"10","2031",0
"11","2031",0
"12","2031",0
"13","2031",0
"14","2031",0
"15","2031",0
"16","2031",0
"17","2031",0
"18","2031",0
"19","2031",0
"20","2031",0
"1","2032",3.68574420709294
"2","2032",0.38211365340591
"3","2032",0.0649195872400457
"4","2032",0.066303710986755
"5","2032",0.0869871777528084
"6","2032",0
"7","2032",0
"8","2032",0
"9","2032",0
"10","2032",0
"11","2032",0
"12","2032",0
"13","2032",0
"14","2032",0
"15","2032",0
"16","2032",0
"17","2032",0
"18","2032",0
"19","2032",0
"20","2032",0
"1","2033",3.49992938362649
"2","2033",0.751294036867606
"3","2033",0.0663848425275777
"4","2033",0.068607167246273
"5","2033",0.0882788801269744
"6","2033",0
"7","2033",0
"8","2033",0
"9","2033",0
"10","2033",0
"11","2033",0
"12","2033",0
"13","2033",0
"14","2033",0
"15","2033",0
"16","2033",0
"17","2033",0
"18","2033",0
"19","2033",0
"20","2033",0
"1","2034",3.15752278368841
"2","2034",0.589292749235594
"3","2034",0.13079167117029
"4","2034",0.0701113840113183
"5","2034",0.227204748067567
"6","2034",0
"7","2034",0
"8","2034",0
"9","2034",0
"10","2034",0
"11","2034",0
"12","2034",0
"13","2034",0
"14","2034",0
"15","2034",0
"16","2034",0
"17","2034",0
"18","2034",0
"19","2034",0
"20","2034",0
"1","2035",2.96678071388405
"2","2035",0.404541601258007
"3","2035",0.281773368088682
"4","2035",0.157162027401121
"5","2035",0.484414493511022
"6","2035",0
"7","2035",0
"8","2035",0
"9","2035",0
"10","2035",0
"11","2035",0
"12","2035",0
"13","2035",0
"14","2035",0
"15","2035",0
"16","2035",0
"17","2035",0
"18","2035",0
"19","2035",0
"20","2035",0
"1","2036",2.90353933992126
"2","2036",0.268485570924332
"3","2036",0.374257759638149
"4","2036",0.334794667646964
"5","2036",0.540072191091155
"6","2036",0
"7","2036",0
"8","2036",0
"9","2036",0
"10","2036",0
"11","2036",0
"12","2036",0
"13","2036",0
"14","2036",0
"15","2036",0
"16","2036",0
"17","2036",0
"18","2036",0
"19","2036",0
"20","2036",0
"1","2037",2.65691117419539
"2","2037",0.217245414103445
"3","2037",0.394593491936617
"4","2037",0.40097170003877
"5","2037",0.530079454208574
"6","2037",0
"7","2037",0
"8","2037",0
"9","2037",0
"10","2037",0
"11","2037",0
"12","2037",0
"13","2037",0
"14","2037",0
"15","2037",0
"16","2037",0
"17","2037",0
"18","2037",0
"19","2037",0
"20","2037",0
"1","2038",2.3940514698637
"2","2038",0.140378800333111
"3","2038",0.390170585547086
"4","2038",0.409179012641432
"5","2038",0.513725760602918
"6","2038",0
"7","2038",0
"8","2038",0
"9","2038",0
"10","2038",0
"11","2038",0
"12","2038",0
"13","2038",0
"14","2038",0
"15","2038",0
"16","2038",0
"17","2038",0
"18","2038",0
"19","2038",0
"20","2038",0
"1","2039",2.16088927906315
"2","2039",0.0869354995737047
"3","2039",0.379212994416724
"4","2039",0.399954092880832
"5","2039",0.497441307931629
"6","2039",0
"7","2039",0
"8","2039",0
"9","2039",0
"10","2039",0
"11","2039",0
"12","2039",0
"13","2039",0
"14","2039",0
"15","2039",0
"16","2039",0
"17","2039",0
"18","2039",0
"19","2039",0
"20","2039",0
"1","2040",1.97971817766345
"2","2040",0.054242581037958
"3","2040",0.352156729076625
"4","2040",0.386730699707941
"5","2040",0.449401043650556
"6","2040",0
"7","2040",0
"8","2040",0
"9","2040",0
"10","2040",0
"11","2040",0
"12","2040",0
"13","2040",0
"14","2040",0
"15","2040",0
"16","2040",0
"17","2040",0
"18","2040",0
"19","2040",0
"20","2040",0
"1","2041",1.80287734540963
"2","2041",0.0491928652314394
"3","2041",0.315909850784546
"4","2041",0.353537460325575
"5","2041",0.397729928707088
"6","2041",0
"7","2041",0
"8","2041",0
"9","2041",0
"10","2041",0
"11","2041",0
"12","2041",0
"13","2041",0
"14","2041",0
"15","2041",0
"16","2041",0
"17","2041",0
"18","2041",0
"19","2041",0
"20","2041",0
"1","2042",1.64801324932205
"2","2042",0.0371278160632884
"3","2042",0.279929100694705
"4","2042",0.315017052500354
"5","2042",0.351005567061728
"6","2042",0
"7","2042",0
"8","2042",0
"9","2042",0
"10","2042",0
"11","2042",0
"12","2042",0
"13","2042",0
"14","2042",0
"15","2042",0
"16","2042",0
"17","2042",0
"18","2042",0
"19","2042",0
"20","2042",0
"1","2043",1.54396776179217
"2","2043",0.0248890576395661
"3","2043",0.2486008359968
"4","2043",0.27840072933776
"5","2043",0.31284603254551
"6","2043",0
"7","2043",0
"8","2043",0
"9","2043",0
"10","2043",0
"11","2043",0
"12","2043",0
"13","2043",0
"14","2043",0
"15","2043",0
"16","2043",0
"17","2043",0
"18","2043",0
"19","2043",0
"20","2043",0
"1","2044",1.48516409222522
"2","2044",0.0228660775313656
"3","2044",0.218806592114992
"4","2044",0.247366416913797
"5","2044",0.273449907295402
"6","2044",0
"7","2044",0
"8","2044",0
"9","2044",0
"10","2044",0
"11","2044",0
"12","2044",0
"13","2044",0
"14","2044",0
"15","2044",0
"16","2044",0
"17","2044",0
"18","2044",0
"19","2044",0
"20","2044",0
"1","2045",1.46704277982741
"2","2045",0.0277143419348098
"3","2045",0.18993204633454
"4","2045",0.217091383706736
"5","2045",0.235433463112213
"6","2045",0
"7","2045",0
"8","2045",0
"9","2045",0
"10","2045",0
"11","2045",0
"12","2045",0
"13","2045",0
"14","2045",0
"15","2045",0
"16","2045",0
"17","2045",0
"18","2045",0
"19","2045",0
"20","2045",0
"1","2046",1.48413814889865
"2","2046",0.03620047578081
"3","2046",0.164936247615541
"4","2046",0.188016115304746
"5","2046",0.204875091616834
"6","2046",0
"7","2046",0
"8","2046",0
"9","2046",0
"10","2046",0
"11","2046",0
"12","2046",0
"13","2046",0
"14","2046",0
"15","2046",0
"16","2046",0
"17","2046",0
"18","2046",0
"19","2046",0
"20","2046",0
"1","2047",1.54273257215742
"2","2047",0.0449536089360294
"3","2047",0.144482488105178
"4","2047",0.163581543606969
"5","2047",0.180397664021693
"6","2047",0
"7","2047",0
"8","2047",0
"9","2047",0
"10","2047",0
"11","2047",0
"12","2047",0
"13","2047",0
"14","2047",0
"15","2047",0
"16","2047",0
"17","2047",0
"18","2047",0
"19","2047",0
"20","2047",0
"1","2048",1.63903434047049
