Source,Weight_kg,Sex,Age_yrs,Month,Year
CAN_polish,0.78,U,9,8,1989
CAN_polish,0.784,U,9,8,1989
CAN_polish,0.785,U,9,8,1989
CAN_polish,0.79,U,9,8,1989
CAN_polish,0.794,U,9,8,1989
CAN_polish,0.795,U,9,8,1989
CAN_polish,0.796,U,9,8,1989
CAN_polish,0.805,U,9,8,1989
CAN_polish,0.806,U,9,8,1989
CAN_polish,0.817,U,9,8,1989
CAN_polish,0.821,U,9,8,1989
CAN_polish,0.821,U,9,8,1989
CAN_polish,0.827,U,9,8,1989
CAN_polish,0.828,U,9,8,1989
CAN_polish,0.848,U,9,8,1989
CAN_polish,0.863,U,9,8,1989
CAN_polish,0.873,U,9,8,1989
CAN_polish,0.88,U,9,8,1989
CAN_polish,0.883,U,9,8,1989
CAN_polish,0.893,U,9,8,1989
CAN_polish,0.907,U,9,8,1989
CAN_polish,0.912,U,9,8,1989
CAN_polish,0.917,U,9,8,1989
CAN_polish,0.921,U,9,8,1989
CAN_polish,0.922,U,9,8,1989
CAN_polish,0.929,U,9,8,1989
CAN_polish,0.933,U,9,8,1989
CAN_polish,0.942,U,9,8,1989
CAN_polish,0.948,U,9,8,1989
CAN_polish,0.949,U,9,8,1989
CAN_polish,0.955,U,9,8,1989
CAN_polish,0.961,U,9,8,1989
CAN_polish,0.964,U,9,8,1989
CAN_polish,0.964,U,9,8,1989
CAN_polish,0.973,U,9,8,1989
CAN_polish,0.977,U,9,8,1989
CAN_polish,1.001,U,9,8,1989
CAN_polish,1.012,U,9,8,1989
CAN_polish,1.013,U,9,8,1989
CAN_polish,1.013,U,9,8,1989
CAN_polish,1.031,U,9,8,1989
CAN_polish,1.035,U,9,8,1989
CAN_polish,1.037,U,9,8,1989
CAN_polish,1.045,U,9,8,1989
CAN_polish,1.049,U,9,8,1989
CAN_polish,1.056,U,9,8,1989
CAN_polish,1.057,U,9,8,1989
CAN_polish,1.06,U,9,8,1989
CAN_polish,1.066,U,9,8,1989
CAN_polish,1.077,U,9,8,1989
CAN_polish,1.09,U,9,8,1989
CAN_polish,1.099,U,9,8,1989
CAN_polish,1.108,U,9,8,1989
CAN_polish,1.11,U,9,8,1989
