"Source","Weight_kg","Sex","Age_yrs","Length_cm","Month","Year"
"Acoustic U.S.",0.138,"F",1,28,"7","2021"
"Acoustic U.S.",0.156,"F",1,29,"7","2021"
"Acoustic U.S.",0.164,"F",1,30,"7","2021"
"Acoustic U.S.",0.18,"F",2,33,"7","2021"
"Acoustic U.S.",0.218,"F",2,33,"7","2021"
"Acoustic U.S.",0.228,"F",2,34,"7","2021"
"Acoustic U.S.",0.1,"M",1,26,"7","2021"
"Acoustic U.S.",0.106,"M",1,26,"7","2021"
"Acoustic U.S.",0.128,"M",1,27,"7","2021"
"Acoustic U.S.",0.138,"M",1,29,"7","2021"
"Acoustic U.S.",0.144,"M",1,29,"7","2021"
"Acoustic U.S.",0.252,"M",2,35,"7","2021"
"Acoustic U.S.",0.278,"M",2,36,"7","2021"
"Acoustic U.S.",0.29,"M",3,36,"7","2021"
"Acoustic U.S.",0.31,"M",2,36,"7","2021"
"Acoustic U.S.",0.336,"M",2,36,"7","2021"
"Acoustic U.S.",0.338,"M",5,37,"7","2021"
"Acoustic U.S.",0.386,"M",3,39,"7","2021"
"Acoustic U.S.",0.408,"M",4,41,"7","2021"
"Acoustic U.S.",0.444,"M",3,41,"7","2021"
"Acoustic U.S.",0.504,"M",5,42,"7","2021"
"Acoustic U.S.",0.64,"M",6,43,"7","2021"
"Acoustic U.S.",0.574,"M",9,44,"7","2021"
"Acoustic U.S.",0.59,"M",4,45,"7","2021"
"Acoustic U.S.",0.766,"M",7,48,"7","2021"
"Acoustic U.S.",0.69,"M",6,49,"7","2021"
"Acoustic U.S.",0.696,"M",8,49,"7","2021"
"Acoustic U.S.",0.778,"M",7,49,"7","2021"
"Acoustic U.S.",0.106,"F",1,26,"7","2021"
"Acoustic U.S.",0.112,"F",1,27,"7","2021"
"Acoustic U.S.",0.118,"F",1,27,"7","2021"
"Acoustic U.S.",0.13,"F",1,27,"7","2021"
"Acoustic U.S.",0.162,"F",2,30,"7","2021"
"Acoustic U.S.",0.166,"F",2,30,"7","2021"
"Acoustic U.S.",0.316,"F",2,36,"7","2021"
"Acoustic U.S.",0.29,"F",2,37,"7","2021"
"Acoustic U.S.",0.336,"F",2,37,"7","2021"
"Acoustic U.S.",0.334,"F",2,38,"7","2021"
"Acoustic U.S.",0.336,"F",3,38,"7","2021"
"Acoustic U.S.",0.358,"F",3,38,"7","2021"
"Acoustic U.S.",0.368,"F",3,38,"7","2021"
"Acoustic U.S.",0.374,"F",3,38,"7","2021"
"Acoustic U.S.",0.374,"F",2,39,"7","2021"
"Acoustic U.S.",0.432,"F",4,40,"7","2021"
"Acoustic U.S.",0.436,"F",2,40,"7","2021"
"Acoustic U.S.",0.438,"F",2,41,"7","2021"
"Acoustic U.S.",0.456,"F",2,41,"7","2021"
"Acoustic U.S.",0.502,"F",4,41,"7","2021"
"Acoustic U.S.",0.502,"F",3,42,"7","2021"
"Acoustic U.S.",0.566,"F",5,44,"7","2021"
"Acoustic U.S.",0.562,"F",8,45,"7","2021"
"Acoustic U.S.",0.596,"F",6,47,"7","2021"
"Acoustic U.S.",0.708,"F",11,47,"7","2021"
"Acoustic U.S.",0.752,"F",5,49,"7","2021"
"Acoustic U.S.",0.824,"F",7,49,"7","2021"
"Acoustic U.S.",0.982,"F",5,51,"7","2021"
"Acoustic U.S.",0.086,"M",1,25,"7","2021"
"Acoustic U.S.",0.096,"M",1,25,"7","2021"
"Acoustic U.S.",0.104,"M",1,26,"7","2021"
"Acoustic U.S.",0.114,"M",1,26,"7","2021"
"Acoustic U.S.",0.114,"M",1,27,"7","2021"
"Acoustic U.S.",0.124,"M",1,27,"7","2021"
"Acoustic U.S.",0.126,"M",1,28,"7","2021"
"Acoustic U.S.",0.13,"M",3,28,"7","2021"
"Acoustic U.S.",0.138,"M",1,28,"7","2021"
"Acoustic U.S.",0.144,"M",1,28,"7","2021"
"Acoustic U.S.",0.154,"M",1,29,"7","2021"
"Acoustic U.S.",0.152,"M",1,30,"7","2021"
"Acoustic U.S.",0.162,"M",1,30,"7","2021"
"Acoustic U.S.",0.21,"M",1,32,"7","2021"
"Acoustic U.S.",0.214,"M",3,33,"7","2021"
"Acoustic U.S.",0.238,"M",2,33,"7","2021"
"Acoustic U.S.",0.252,"M",2,35,"7","2021"
"Acoustic U.S.",0.252,"M",2,37,"7","2021"
"Acoustic U.S.",0.3,"M",2,37,"7","2021"
"Acoustic U.S.",0.348,"M",2,38,"7","2021"
"Acoustic U.S.",0.386,"M",3,41,"7","2021"
"Acoustic U.S.",0.096,"F",1,25,"7","2021"
"Acoustic U.S.",0.116,"F",1,25,"7","2021"
"Acoustic U.S.",0.106,"F",1,26,"7","2021"
"Acoustic U.S.",0.106,"F",1,26,"7","2021"
"Acoustic U.S.",0.118,"F",1,26,"7","2021"
"Acoustic U.S.",0.106,"F",1,27,"7","2021"
"Acoustic U.S.",0.112,"F",1,27,"7","2021"
"Acoustic U.S.",0.112,"F",1,27,"7","2021"
"Acoustic U.S.",0.116,"F",1,27,"7","2021"
"Acoustic U.S.",0.13,"F",1,27,"7","2021"
"Acoustic U.S.",0.132,"F",1,28,"7","2021"
"Acoustic U.S.",0.138,"F",1,28,"7","2021"
"Acoustic U.S.",0.142,"F",1,28,"7","2021"
"Acoustic U.S.",0.158,"F",1,28,"7","2021"
"Acoustic U.S.",0.128,"F",1,29,"7","2021"
"Acoustic U.S.",0.134,"F",1,29,"7","2021"
"Acoustic U.S.",0.14,"F",1,29,"7","2021"
"Acoustic U.S.",0.154,"F",1,29,"7","2021"
"Acoustic U.S.",0.168,"F",1,29,"7","2021"
"Acoustic U.S.",0.206,"F",2,31,"7","2021"
"Acoustic U.S.",0.224,"F",2,31,"7","2021"
"Acoustic U.S.",0.222,"F",2,32,"7","2021"
"Acoustic U.S.",0.228,"F",2,34,"7","2021"
"Acoustic U.S.",0.244,"F",2,34,"7","2021"
"Acoustic U.S.",0.244,"F",2,34,"7","2021"
"Acoustic U.S.",0.288,"F",2,36,"7","2021"
"Acoustic U.S.",0.408,"F",2,39,"7","2021"
"Acoustic U.S.",0.416,"F",4,42,"7","2021"
"Acoustic U.S.",1.18,"F",5,60,"7","2021"
"Acoustic U.S.",0.108,"M",1,26,"7","2021"
"Acoustic U.S.",0.12,"M",1,26,"7","2021"
"Acoustic U.S.",0.118,"M",1,27,"7","2021"
"Acoustic U.S.",0.126,"M",1,27,"7","2021"
"Acoustic U.S.",0.126,"M",1,27,"7","2021"
"Acoustic U.S.",0.124,"M",1,28,"7","2021"
"Acoustic U.S.",0.136,"M",1,28,"7","2021"
"Acoustic U.S.",0.142,"M",1,28,"7","2021"
"Acoustic U.S.",0.15,"M",1,28,"7","2021"
"Acoustic U.S.",0.156,"M",1,28,"7","2021"
"Acoustic U.S.",0.16,"M",1,28,"7","2021"
"Acoustic U.S.",0.126,"M",1,29,"7","2021"
"Acoustic U.S.",0.16,"M",1,29,"7","2021"
