"NatM_p_1_Fem_GP_1","SR_LN(R0)","SR_BH_steep","Q_extraSD_2_Acoustic_Survey"
0.213837,14.7049,0.946396,0.442809
0.222698,14.9108,0.68703,0.229302
0.239502,15.1481,0.816145,0.193919
0.235136,14.9906,0.833449,0.357553
0.231532,15.1042,0.67126,0.665374
0.233773,14.919,0.78525,0.411187
0.185069,14.4345,0.931457,0.380999
0.219018,14.8735,0.900585,0.316113
0.201821,14.5966,0.8835,0.772064
0.209394,14.6833,0.904274,1.14256
0.223267,14.843,0.860043,0.26925
0.241663,15.0883,0.750434,0.379201
0.213899,14.7043,0.865595,0.303643
0.256575,15.2204,0.801493,0.25334
0.226749,15.0792,0.766595,0.273834
0.238145,15.1163,0.871467,0.345962
0.227282,15.2292,0.680026,0.294304
0.230309,15.4605,0.582693,0.421191
0.222135,14.8552,0.928636,0.593622
0.212858,14.9537,0.88799,0.402992
0.252187,15.3346,0.96239,0.264076
0.220816,14.9678,0.724503,0.627981
0.207976,14.6134,0.680318,0.437056
0.212152,14.7655,0.866286,0.45615
0.252813,15.0684,0.850691,0.236131
0.223717,14.8478,0.763065,0.395117
0.237432,14.9515,0.756127,0.458456
0.216276,14.8512,0.763235,0.406335
0.195791,14.4256,0.872889,0.19462
0.221635,15.0816,0.592934,0.478201
0.213461,14.5894,0.975779,0.349681
0.21414,14.63,0.875239,0.468814
0.226818,15.0116,0.886975,0.251068
0.207231,14.6974,0.734134,0.236585
0.200455,14.6752,0.819224,0.377582
0.223924,14.8415,0.796429,0.363996
0.263935,15.2296,0.814296,0.278144
0.250083,15.0222,0.723395,0.269539
0.232591,14.8017,0.893939,0.474974
0.239026,14.9766,0.872407,0.277422
0.234969,14.7615,0.9456,0.402453
0.232115,14.9498,0.804152,0.624686
0.251238,15.0245,0.946106,0.428632
0.253752,15.2827,0.735116,0.438535
0.222262,14.9304,0.82073,0.425051
0.24387,14.8967,0.842713,0.514803
0.21122,14.7132,0.770126,0.341984
0.230709,14.9135,0.97719,0.430606
0.194534,14.4927,0.941842,0.202519
0.187347,14.5099,0.916728,0.374151
0.211813,14.7738,0.630543,0.218022
0.263266,15.2175,0.763775,0.304013
0.221225,14.7949,0.965095,0.385004
0.210844,14.6647,0.807782,0.28703
0.195871,14.592,0.837912,0.274848
0.221415,14.8484,0.771922,0.346106
0.229892,14.8868,0.84266,0.432763
0.210344,14.8326,0.896514,0.371131
0.216354,15.0079,0.928646,0.521164
0.228589,14.8985,0.761288,0.238676
0.206874,14.8036,0.818759,0.28032
0.213676,14.688,0.915113,0.335941
0.198189,14.6189,0.82484,0.73162
0.242326,15.0006,0.860326,0.662872
0.197422,14.6532,0.703146,0.415641
0.263372,15.4891,0.783177,0.406665
0.224238,14.6854,0.890357,0.763923
0.204261,14.822,0.832189,0.403368
0.262865,15.3256,0.747661,0.346897
0.221112,15.1897,0.595318,0.298384
0.215023,14.7099,0.860459,0.405352
0.217576,14.7929,0.756059,0.371016
0.263159,15.1747,0.749336,0.385886
0.224761,14.6932,0.839272,0.503045
0.230675,14.912,0.77238,0.687066
0.206191,14.7216,0.736658,0.345717
